mc_experiments;mc_stats;mc_surveys;mc_replication;trust1;trust2;trust3;trust4;trust5;value1;value2;value3;value4;science1;science2;science3;error_int;error_ext;error_comm1;error_comm2;error_comm3;error_comm4;error_impro1;error_impro2;error_impro3;gender;gender_3_TEXT;age;english;english_native;race;CON
7;3;7;4;4;4;3;4;5;3;2;4;2;5;3;6;4;4;5;6;6;6;5;5;5;1;Deleted to protect anonymity;26;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;6;4;4;4;4;7;6;3;4;3;3;7;1;4;5;5;4;6;5;6;7;7;7;1;Deleted to protect anonymity;38;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;2;6;2;4;3;5;4;5;2;3;3;3;6;3;5;3;4;5;5;5;6;6;6;5;1;Deleted to protect anonymity;39;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
4;3;7;5;5;4;3;5;6;4;3;3;2;4;1;3;4;5;3;5;4;3;2;4;5;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
6;2;7;4;4;4;4;4;6;3;4;3;3;4;4;2;4;4;6;6;6;6;6;6;6;2;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;2;7;6;2;6;6;3;3;4;4;4;2;6;2;4;2;2;5;6;5;7;3;3;3;2;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
5;2;5;6;2;6;5;2;2;4;4;3;4;5;5;2;2;4;5;3;3;5;6;5;6;1;Deleted to protect anonymity;45;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;7;5;2;5;5;2;2;4;3;3;3;2;6;6;4;3;6;6;6;5;4;5;6;1;Deleted to protect anonymity;50;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;7;3;3;5;5;2;2;4;4;5;4;2;6;6;6;4;6;6;6;6;6;6;6;1;Deleted to protect anonymity;52;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
5;4;4;4;4;3;4;4;4;4;4;3;4;4;3;4;4;4;4;3;4;3;4;4;4;2;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
6;1;7;3;6;2;4;4;6;2;2;2;2;2;7;6;5;4;5;5;5;6;6;6;6;2;Deleted to protect anonymity;37;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
3;3;3;5;3;3;3;4;4;3;3;4;3;4;4;3;5;4;3;5;3;3;4;2;5;2;Deleted to protect anonymity;24;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;7;5;3;5;5;3;3;4;4;3;3;3;5;5;5;3;5;6;6;6;5;4;4;1;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;4;7;6;2;6;6;3;2;4;4;2;1;5;2;4;3;6;4;5;5;3;5;4;5;2;Deleted to protect anonymity;36;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;7;7;2;6;6;1;1;4;5;5;3;6;2;6;3;4;5;6;6;6;5;6;6;1;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;7;6;5;4;4;5;6;3;3;3;2;6;4;6;5;7;7;7;7;7;7;7;7;2;Deleted to protect anonymity;64;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;7;7;2;5;5;2;2;4;4;3;3;5;3;6;4;4;6;6;5;6;5;5;5;1;Deleted to protect anonymity;68;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;7;3;5;3;3;5;6;3;2;1;1;5;4;5;6;2;7;6;6;7;4;5;5;1;Deleted to protect anonymity;43;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;7;3;5;5;4;4;3;4;4;3;6;2;3;4;4;6;4;4;4;5;5;5;2;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;1;7;2;6;6;2;2;3;5;4;4;4;6;4;5;2;6;7;6;7;6;5;6;2;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;7;5;2;5;5;2;3;4;4;3;2;3;5;5;4;4;3;5;4;4;5;5;6;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
6;3;7;4;4;4;4;3;3;3;3;3;3;5;3;4;3;5;4;5;5;5;5;5;5;2;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;7;5;4;4;3;4;4;3;4;3;3;7;1;2;6;2;4;7;7;5;5;6;6;1;Deleted to protect anonymity;50;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;2;7;7;1;6;6;2;2;4;4;4;3;2;5;5;4;2;2;5;5;2;5;5;5;1;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;7;1;7;7;1;1;5;5;5;2;5;2;2;1;6;2;2;2;2;4;6;5;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;2;7;4;3;5;5;2;4;4;4;3;1;2;5;3;5;5;4;6;6;5;6;6;6;2;Deleted to protect anonymity;57;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;1;7;1;7;7;1;1;5;4;5;4;7;1;4;5;5;7;3;3;3;5;6;6;1;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;2;7;5;6;2;3;5;5;2;2;2;2;5;3;6;6;6;7;5;5;6;6;6;7;2;Deleted to protect anonymity;54;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
5;3;5;5;3;5;5;3;3;4;3;3;2;5;5;4;5;4;4;3;3;4;3;3;3;1;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
5;3;6;2;2;6;7;1;1;4;4;3;2;6;3;2;4;6;7;4;5;6;7;7;7;1;Deleted to protect anonymity;27;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;7;7;5;6;7;7;5;6;4;5;5;3;6;6;5;4;6;5;7;7;4;5;6;7;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;7;5;3;2;2;5;2;4;1;4;6;2;6;5;5;3;2;3;2;6;6;6;2;Deleted to protect anonymity;39;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;7;7;1;7;7;1;1;5;5;5;4;5;1;1;7;1;7;1;1;5;5;5;5;2;Deleted to protect anonymity;22;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;5;2;6;4;4;1;4;4;4;3;3;6;7;6;6;2;3;3;3;6;5;5;1;Deleted to protect anonymity;20;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;7;7;5;3;3;5;5;3;4;3;3;5;3;1;4;4;7;7;5;7;7;7;7;2;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
6;2;7;5;2;6;6;2;2;4;4;4;4;6;2;2;4;4;3;5;5;5;5;5;5;2;Deleted to protect anonymity;38;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;7;7;2;6;7;4;5;5;5;5;3;7;1;2;6;5;1;6;4;1;5;5;6;2;Deleted to protect anonymity;59;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
3;5;4;5;4;5;5;4;3;3;3;2;3;5;4;3;5;4;5;3;5;4;4;5;4;1;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;7;4;5;3;5;3;4;4;4;5;3;7;1;2;4;6;4;5;5;4;7;7;7;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;7;1;7;7;1;1;5;5;2;1;7;7;4;6;6;6;6;6;5;6;6;6;1;Deleted to protect anonymity;58;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;7;1;1;7;7;1;1;5;5;5;5;1;7;4;4;4;7;7;7;7;7;7;7;2;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;7;3;6;6;2;2;4;5;4;3;7;1;1;3;6;7;7;7;6;6;7;6;2;Deleted to protect anonymity;36;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
2;2;2;2;2;3;3;3;3;2;3;3;3;2;3;3;2;3;3;3;3;3;3;3;2;NA;Deleted to protect anonymity;NA;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;7;4;3;5;4;4;4;3;4;2;1;4;5;6;4;4;6;6;4;5;6;6;6;1;Deleted to protect anonymity;59;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;4;3;5;5;5;4;3;4;3;2;7;1;1;6;5;7;7;6;6;7;7;7;2;Deleted to protect anonymity;38;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;7;1;7;7;1;1;5;5;5;3;7;1;4;4;4;4;4;4;4;4;4;4;1;Deleted to protect anonymity;26;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;7;6;1;7;7;1;1;5;5;4;3;7;1;1;1;7;4;4;4;4;6;6;7;1;Deleted to protect anonymity;36;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;7;4;6;2;4;4;5;2;2;1;1;5;4;4;5;5;5;5;4;5;6;6;6;1;Deleted to protect anonymity;61;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Deleted to protect anonymity;NA;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;1;7;6;3;5;6;3;2;4;5;5;4;5;3;4;5;5;6;7;6;6;7;7;6;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;7;4;2;7;6;3;2;4;5;5;3;6;3;4;4;3;4;5;5;5;4;4;4;2;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;7;6;3;5;7;1;1;4;4;2;3;6;2;6;5;5;6;6;6;6;6;6;6;1;Deleted to protect anonymity;43;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
5;5;3;3;3;4;5;5;4;3;4;3;4;3;4;5;4;4;6;6;3;3;6;4;4;1;Deleted to protect anonymity;26;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;7;3;3;4;5;3;3;3;3;3;5;6;1;3;3;5;6;6;4;5;6;6;4;2;Deleted to protect anonymity;41;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;2;1;4;6;4;4;6;6;3;3;3;1;5;2;7;5;5;5;5;5;5;5;5;5;1;Deleted to protect anonymity;67;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
5;4;3;5;4;5;3;4;3;3;2;3;4;5;4;5;4;5;4;3;4;3;4;5;5;1;Deleted to protect anonymity;27;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;3;3;5;6;2;2;4;4;2;4;7;1;1;5;4;5;7;7;6;7;5;6;2;Deleted to protect anonymity;35;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;1;6;6;1;7;7;1;1;5;5;4;5;2;6;6;6;5;7;7;7;7;6;7;7;1;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
4;2;7;5;6;3;3;4;6;2;3;3;1;6;2;5;4;4;6;6;6;6;6;6;6;2;Deleted to protect anonymity;42;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;7;7;2;5;4;2;3;4;5;5;2;4;6;7;5;6;2;5;6;7;5;6;5;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;7;5;2;5;5;4;4;4;4;3;3;4;3;5;4;4;6;6;6;6;4;4;4;1;Deleted to protect anonymity;57;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
5;3;6;3;5;4;4;5;5;2;3;3;2;4;5;3;3;5;6;5;6;5;6;6;6;1;Deleted to protect anonymity;27;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;3;2;7;6;2;4;5;2;2;3;5;4;2;4;5;1;3;4;6;1;6;3;5;2;1;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;7;6;2;6;6;2;2;4;4;3;3;6;2;3;6;6;7;7;7;7;7;7;7;2;Deleted to protect anonymity;54;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;6;1;6;6;2;2;4;4;4;3;5;3;2;6;6;3;6;5;4;3;3;3;3;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;1;5;6;7;3;7;2;4;5;4;2;2;2;6;7;7;7;7;5;6;6;7;5;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
5;4;5;5;5;6;5;5;4;4;3;4;3;7;2;4;4;4;3;5;4;5;6;5;5;1;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
5;4;7;6;4;4;2;6;6;3;3;3;4;4;4;4;6;5;4;4;2;7;6;5;6;1;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
6;4;7;5;4;4;5;3;3;3;4;3;3;6;4;4;4;4;6;6;6;6;6;6;6;2;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
6;2;7;7;4;5;5;2;3;4;3;3;2;6;2;2;5;6;4;4;5;4;2;2;2;2;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;7;7;6;2;2;6;6;2;3;2;4;6;2;2;2;6;7;7;6;7;7;7;7;2;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;5;5;4;3;5;5;3;4;3;2;3;5;6;6;5;2;3;3;2;3;4;3;2;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
6;2;7;6;2;6;6;2;2;5;5;4;4;6;2;6;5;3;5;3;5;5;6;6;6;1;Deleted to protect anonymity;26;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
5;2;6;4;2;5;5;3;2;4;3;3;2;7;4;2;2;3;5;4;4;4;6;5;6;2;Deleted to protect anonymity;59;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;1;7;3;5;3;3;4;5;2;2;2;1;3;6;7;7;5;7;5;5;6;7;7;7;1;Deleted to protect anonymity;0.36;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;4;5;3;3;5;6;2;2;3;2;4;4;4;4;4;3;3;3;4;5;5;5;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;5;2;6;7;2;2;4;4;4;5;6;2;2;3;6;7;5;5;6;7;7;7;1;Deleted to protect anonymity;41;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Deleted to protect anonymity;NA;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
5;5;4;5;6;5;5;5;5;3;4;3;4;5;3;5;5;4;5;5;5;4;5;5;5;2;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;MEDIUM
7;4;7;5;1;5;4;3;4;3;4;2;4;4;1;4;1;5;7;3;4;3;7;5;5;2;Deleted to protect anonymity;26;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
