"";"mc_experiments";"mc_stats";"mc_rpp";"mc_replication";"trust1";"trust2";"trust3";"trust4";"trust5";"value1";"value2";"value3";"value4";"science1";"science2";"science3";"error_int";"error_ext";"error_comm1";"error_comm2";"error_comm3";"error_comm4";"error_impro1";"error_impro2";"error_impro3";"gender";"gender_3_TEXT";"age";"english";"english_native";"race";"CON";"na";"mean_trust";"mean_value";"mean_science";"mean_errorcomm";"mean_errorimpro";"mean_attr"
"11";6;2;7;5;6;5;5;5;6;3;4;4;2;4;2;4;5;3;5;5;3;4;3;5;6;"1";"Deleted to protect anonymity";21;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5,4;3,25;3,33333333333333;4,25;4,66666666666667;-2
"12";7;1;7;1;6;6;6;5;6;3;4;5;3;1;2;5;4;4;7;7;5;7;4;5;5;"2";"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5,8;3,75;2,66666666666667;6,5;4,66666666666667;0
"13";6;2;7;6;3;3;4;4;3;2;2;1;2;4;5;2;6;2;5;6;5;5;5;5;5;"1";"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;3,4;1,75;3,66666666666667;5,25;5;-4
"14";7;1;7;3;5;5;5;5;6;4;4;3;3;1;1;3;5;6;5;5;4;5;6;6;7;"1";"Deleted to protect anonymity";45;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;5,2;3,5;1,66666666666667;4,75;6,33333333333333;1
"15";7;1;7;7;7;7;7;7;7;5;5;3;3;1;1;1;6;6;7;5;5;4;7;7;7;"1";"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;7;4;1;5,25;7;0
"16";6;2;6;4;6;5;4;3;3;3;4;3;3;2;1;4;4;4;5;2;5;5;3;4;3;"2";"Deleted to protect anonymity";61;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;4,2;3,25;2,33333333333333;4,25;3,33333333333333;0
"17";6;7;6;7;2;7;7;2;1;4;4;5;4;3;5;6;6;6;7;6;5;5;6;6;7;"1";"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;3,8;4,25;4,66666666666667;5,75;6,33333333333333;0
"18";7;2;7;4;6;6;7;7;7;5;5;4;3;2;2;1;3;4;6;7;7;7;7;7;7;"1";"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;6,6;4,25;1,66666666666667;6,75;7;1
"19";7;1;7;7;5;5;6;6;6;4;5;3;4;3;4;4;4;4;5;5;5;6;6;6;6;"1";"Deleted to protect anonymity";39;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;5,6;4;3,66666666666667;5,25;6;0
"20";5;2;4;4;4;5;4;3;4;3;3;2;2;4;3;4;4;4;6;3;4;5;6;5;6;"2";"Deleted to protect anonymity";38;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;4;2,5;3,66666666666667;4,5;5,66666666666667;0
"21";7;1;7;7;6;5;7;3;6;4;5;4;4;2;2;4;6;3;5;4;5;6;7;3;6;"2";"Deleted to protect anonymity";22;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;5,4;4,25;2,66666666666667;5;5,33333333333333;-3
"22";6;1;7;4;5;5;5;6;6;4;4;3;3;5;5;5;5;4;6;5;5;4;5;6;5;"2";"Deleted to protect anonymity";24;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5,4;3,5;5;5;5,33333333333333;-1
"23";7;1;7;7;5;5;5;5;4;3;3;3;2;3;4;2;4;5;6;5;5;4;6;5;7;"1";"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;4,8;2,75;3;5;6;1
"24";7;1;7;7;2;5;6;6;6;4;4;4;3;1;3;4;4;5;7;6;6;5;7;7;7;"1";"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;5;3,75;2,66666666666667;6;7;1
"25";7;1;7;7;3;2;4;4;5;1;3;2;1;4;7;7;4;4;3;5;5;5;4;4;4;"1";"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;3,6;1,75;6;4,5;4;0
"26";7;1;7;5;7;1;7;7;7;4;5;3;4;3;3;1;5;5;4;6;6;5;3;4;6;"2";"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;5,8;4;2,33333333333333;5,25;4,33333333333333;0
"27";6;1;7;7;5;4;4;5;5;3;4;2;1;3;6;4;4;4;7;1;1;1;7;7;7;"1";"Deleted to protect anonymity";35;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4,6;2,5;4,33333333333333;2,5;7;0
"28";7;1;7;4;3;3;3;4;3;2;2;2;2;6;6;6;6;5;4;5;5;5;5;5;5;"1";"Deleted to protect anonymity";46;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;3,2;2;6;4,75;5;-1
"29";7;1;7;4;4;4;4;4;3;3;3;5;2;1;4;6;4;5;5;6;7;7;6;6;7;"2";"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;3,8;3,25;3,66666666666667;6,25;6,33333333333333;1
"30";7;1;7;6;7;6;5;7;7;4;5;4;3;1;1;7;4;5;6;7;6;7;7;7;7;"1";"Deleted to protect anonymity";21;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;6,4;4;3;6,5;7;1
"31";7;1;5;7;7;7;7;7;7;4;4;5;4;2;3;2;5;6;6;6;5;6;7;6;7;"2";"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;7;4,25;2,33333333333333;5,75;6,66666666666667;1
"32";7;2;7;6;6;5;3;5;3;4;4;2;4;1;2;6;6;4;6;7;4;6;3;3;3;"1";"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;4,4;3,5;3;5,75;3;-2
"33";7;1;7;7;5;4;5;5;5;3;5;4;3;3;3;2;5;5;5;6;5;7;6;6;6;"2";"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4,8;3,75;2,66666666666667;5,75;6;0
"34";7;2;7;5;7;6;6;7;6;4;4;4;4;3;3;3;4;4;4;5;4;5;5;5;5;"1";"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;6,4;4;3;4,5;5;0
"35";7;1;7;4;7;7;7;7;7;5;5;5;3;4;1;7;7;7;7;7;7;7;7;7;7;"1";"Deleted to protect anonymity";44;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;7;4,5;4;7;7;0
"36";7;1;7;7;7;6;6;7;7;5;5;5;5;2;2;6;5;3;7;6;6;7;7;7;7;"2";"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;6,6;5;3,33333333333333;6,5;7;-2
"37";7;1;5;4;7;6;5;7;7;4;4;4;3;3;4;2;5;6;2;5;5;4;6;5;5;"2";"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;6,4;3,75;3;4;5,33333333333333;1
"38";7;1;7;4;7;5;5;6;6;3;3;3;3;1;1;5;3;4;5;5;5;5;6;6;6;"1";"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;5,8;3;2,33333333333333;5;6;1
"39";7;1;7;4;7;5;6;7;7;4;5;4;3;1;1;7;7;7;7;7;7;7;7;7;7;"1";"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;6,4;4;3;7;7;0
"40";7;1;7;7;4;4;4;4;4;3;3;2;1;4;5;6;5;5;4;6;6;5;4;5;5;"1";"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4;2,25;5;5,25;4,66666666666667;0
"41";7;1;7;5;7;6;7;7;7;5;5;5;5;7;7;7;7;1;7;7;6;7;7;6;7;"1";"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;6,8;5;7;6,75;6,66666666666667;-6
"42";7;1;6;5;7;7;7;7;7;5;5;5;5;7;7;7;7;4;7;5;6;7;6;7;7;"1";"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;7;5;7;6,25;6,66666666666667;-3
"43";7;3;1;5;7;6;7;6;7;5;5;5;5;4;5;5;6;5;4;5;5;6;5;6;6;"2";"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;6,6;5;4,66666666666667;5;5,66666666666667;-1
"44";7;1;7;7;5;6;7;7;7;5;5;4;2;1;1;1;4;4;2;4;3;6;6;6;4;"1";"Deleted to protect anonymity";23;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;6,4;4;1;3,75;5,33333333333333;0
"45";5;3;6;5;7;6;6;7;7;4;5;5;2;3;2;2;2;2;6;6;6;6;7;6;6;"1";"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;6,6;4;2,33333333333333;6;6,33333333333333;0
"46";7;1;7;6;3;6;6;6;6;3;2;2;1;2;2;2;6;3;6;5;5;5;6;6;6;"1";"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5,4;2;2;5,25;6;-3
"47";7;1;7;4;1;1;1;1;1;1;1;1;1;2;4;7;6;5;6;4;1;1;7;7;7;"2";"Deleted to protect anonymity";63;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;1;1;4,33333333333333;3;7;-1
"48";7;3;7;4;4;4;3;4;3;3;2;4;2;3;3;6;4;4;5;6;6;6;5;5;5;"1";"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;3,6;2,75;4;5,75;5;0
"49";7;1;6;4;4;4;4;1;2;3;4;3;3;1;1;4;5;5;4;6;5;6;7;7;7;"1";"Deleted to protect anonymity";38;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;3;3,25;2;5,25;7;0
"50";6;2;6;2;4;3;5;4;3;2;3;3;3;2;3;5;3;4;5;5;5;6;6;6;5;"1";"Deleted to protect anonymity";39;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;3,8;2,75;3,33333333333333;5,25;5,66666666666667;1
"51";4;3;7;5;3;4;3;3;2;4;3;3;2;4;1;3;4;5;3;5;4;3;2;4;5;"1";"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;3;3;2,66666666666667;3,75;3,66666666666667;1
"52";6;2;7;4;4;4;4;4;2;3;4;3;3;4;4;2;4;4;6;6;6;6;6;6;6;"2";"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;3,6;3,25;3,33333333333333;6;6;0
"53";6;2;7;6;6;6;6;5;5;4;4;4;2;2;2;4;2;2;5;6;5;7;3;3;3;"2";"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5,6;3,5;2,66666666666667;5,75;3;0
"54";5;2;5;6;6;6;5;6;6;4;4;3;4;3;5;2;2;4;5;3;3;5;6;5;6;"1";"Deleted to protect anonymity";45;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;5,8;3,75;3,33333333333333;4;5,66666666666667;2
"55";7;1;7;5;6;5;5;6;6;4;3;3;3;6;6;6;4;3;6;6;6;5;4;5;6;"1";"Deleted to protect anonymity";50;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5,6;3,25;6;5,75;5;-1
"56";7;1;7;3;5;5;5;6;6;4;4;5;4;6;6;6;6;4;6;6;6;6;6;6;6;"1";"Deleted to protect anonymity";52;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;5,4;4,25;6;6;6;-2
"57";5;4;4;4;4;3;4;4;4;4;4;3;4;4;3;4;4;4;4;3;4;3;4;4;4;"2";"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;3,8;3,75;3,66666666666667;3,5;4;0
"58";6;1;7;3;2;2;4;4;2;2;2;2;2;6;7;6;5;4;5;5;5;6;6;6;6;"2";"Deleted to protect anonymity";37;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;2,8;2;6,33333333333333;5,25;6;-1
"59";3;3;3;5;5;3;3;4;4;3;3;4;3;4;4;3;5;4;3;5;3;3;4;2;5;"2";"Deleted to protect anonymity";24;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;3,8;3,25;3,66666666666667;3,5;3,66666666666667;-1
"60";7;1;7;5;5;5;5;5;5;4;4;3;3;5;5;5;5;3;5;6;6;6;5;4;4;"1";"Deleted to protect anonymity";40;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;5;3,5;5;5,75;4,33333333333333;-2
"61";7;4;7;6;6;6;6;5;6;4;4;2;1;3;2;4;3;6;4;5;5;3;5;4;5;"2";"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;5,8;2,75;3;4,25;4,66666666666667;3
"62";7;1;7;7;6;6;6;7;7;4;5;5;3;2;2;6;3;4;5;6;6;6;5;6;6;"1";"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;6,4;4,25;3,33333333333333;5,75;5,66666666666667;1
"63";7;1;7;6;3;4;4;3;2;3;3;3;2;2;4;6;5;7;7;7;7;7;7;7;7;"2";"Deleted to protect anonymity";64;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;3,2;2,75;4;7;7;2
"64";7;1;7;7;6;5;5;6;6;4;4;3;3;3;3;6;4;4;6;6;5;6;5;5;5;"1";"Deleted to protect anonymity";68;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;5,6;3,5;4;5,75;5;0
"65";7;1;7;3;3;3;3;3;2;3;2;1;1;3;4;5;6;2;7;6;6;7;4;5;5;"1";"Deleted to protect anonymity";43;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;2,8;1,75;4;6,5;4,66666666666667;-4
"66";7;1;7;7;5;5;5;4;4;3;4;4;3;2;2;3;4;4;6;4;4;4;5;5;5;"2";"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;4,6;3,5;2,33333333333333;4,5;5;0
"67";7;1;1;7;6;6;6;6;6;3;5;4;4;4;6;4;5;2;6;7;6;7;6;5;6;"2";"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;6;4;4,66666666666667;6,5;5,66666666666667;-3
"68";7;1;7;5;6;5;5;6;5;4;4;3;2;5;5;5;4;4;3;5;4;4;5;5;6;"1";"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5,4;3,25;5;4;5,33333333333333;0
"69";6;3;7;4;4;4;4;5;5;3;3;3;3;3;3;4;3;5;4;5;5;5;5;5;5;"2";"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;4,4;3;3,33333333333333;4,75;5;2
"70";7;1;7;5;4;4;3;4;4;3;4;3;3;1;1;2;6;2;4;7;7;5;5;6;6;"1";"Deleted to protect anonymity";50;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;3,8;3,25;1,33333333333333;5,75;5,66666666666667;-4
"71";7;2;7;7;7;6;6;6;6;4;4;4;3;6;5;5;4;2;2;5;5;2;5;5;5;"1";"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;6,2;3,75;5,33333333333333;3,5;5;-2
"72";7;1;7;7;7;7;7;7;7;5;5;5;2;3;2;2;1;6;2;2;2;2;4;6;5;"1";"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;7;4,25;2,33333333333333;2;5;5
"73";7;2;7;4;5;5;5;6;4;4;4;3;1;6;5;3;5;5;4;6;6;5;6;6;6;"2";"Deleted to protect anonymity";57;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5;3;4,66666666666667;5,25;6;0
"74";7;1;1;7;7;7;7;7;7;5;4;5;4;1;1;4;5;5;7;3;3;3;5;6;6;"1";"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;7;4,5;2;4;5,66666666666667;0
"75";6;2;7;5;2;2;3;3;3;2;2;2;2;3;3;6;6;6;7;5;5;6;6;6;7;"2";"Deleted to protect anonymity";54;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;2,6;2;4;5,75;6,33333333333333;0
"76";5;3;5;5;5;5;5;5;5;4;3;3;2;3;5;4;5;4;4;3;3;4;3;3;3;"1";"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;5;3;4;3,5;3;-1
"77";5;3;6;2;6;6;7;7;7;4;4;3;2;2;3;2;4;6;7;4;5;6;7;7;7;"1";"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;6,6;3,25;2,33333333333333;5,5;7;2
"78";6;7;7;5;2;7;7;3;2;4;5;5;3;2;6;5;4;6;5;7;7;4;5;6;7;"1";"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4,2;4,25;4,33333333333333;5,75;6;2
"79";7;1;7;7;3;3;2;6;3;2;4;1;4;2;2;6;5;5;3;2;3;2;6;6;6;"2";"Deleted to protect anonymity";39;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;3,4;2,75;3,33333333333333;2,5;6;0
"80";7;1;7;7;7;7;7;7;7;5;5;5;4;3;1;1;7;1;7;1;1;5;5;5;5;"2";"Deleted to protect anonymity";22;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;7;4,75;1,66666666666667;3,5;5;-6
"81";7;1;7;5;6;6;4;4;7;4;4;4;3;5;6;7;6;6;2;3;3;3;6;5;5;"1";"Deleted to protect anonymity";20;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5,4;3,75;6;2,75;5,33333333333333;0
"82";7;1;7;7;3;3;3;3;3;3;4;3;3;3;3;1;4;4;7;7;5;7;7;7;7;"2";"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;3;3,25;2,33333333333333;6,5;7;0
"83";6;2;7;5;6;6;6;6;6;4;4;4;4;2;2;2;4;4;3;5;5;5;5;5;5;"2";"Deleted to protect anonymity";38;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;6;4;2;4,5;5;0
"84";7;1;7;7;6;6;7;4;3;5;5;5;3;1;1;2;6;5;1;6;4;1;5;5;6;"2";"Deleted to protect anonymity";59;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;5,2;4,5;1,33333333333333;3;5,33333333333333;-1
"85";3;5;4;5;4;5;5;4;5;3;3;2;3;3;4;3;5;4;5;3;5;4;4;5;4;"1";"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;4,6;2,75;3,33333333333333;4,25;4,33333333333333;-1
"86";7;1;7;4;3;3;5;5;4;4;4;5;3;1;1;2;4;6;4;5;5;4;7;7;7;"1";"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4;4;1,33333333333333;4,5;7;2
"87";7;1;7;7;7;7;7;7;7;5;5;2;1;1;7;4;6;6;6;6;6;5;6;6;6;"1";"Deleted to protect anonymity";58;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;7;3,25;4;5,75;6;0
"88";7;1;7;1;7;7;7;7;7;5;5;5;5;7;7;4;4;4;7;7;7;7;7;7;7;"2";"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;7;5;6;7;7;0
"89";7;1;7;7;5;6;6;6;6;4;5;4;3;1;1;1;3;6;7;7;7;6;6;7;6;"2";"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5,8;4;1;6,75;6,33333333333333;3
"90";2;2;2;2;6;3;3;5;5;2;3;3;3;6;3;3;2;3;3;3;3;3;3;3;2;"NA";"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;4,4;2,75;4;3;2,66666666666667;1
"91";7;1;7;4;5;5;4;4;4;3;4;2;1;4;5;6;4;4;6;6;4;5;6;6;6;"1";"Deleted to protect anonymity";59;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4,4;2,5;5;5,25;6;0
"92";7;1;7;4;5;5;5;3;4;3;4;3;2;1;1;1;6;5;7;7;6;6;7;7;7;"2";"Deleted to protect anonymity";38;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4,4;3;1;6,5;7;-1
"93";7;1;7;7;7;7;7;7;7;5;5;5;3;1;1;4;4;4;4;4;4;4;4;4;4;"1";"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;7;4,5;2;4;4;0
"94";7;1;7;6;7;7;7;7;7;5;5;4;3;1;1;1;1;7;4;4;4;4;6;6;7;"1";"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;7;4,25;1;4;6,33333333333333;6
