"";"replication_rate";"trust1";"trust2";"trust3";"trust4";"trust5";"value1";"value2";"value3";"value4";"knowledge1";"knowledge2";"gender";"gender_3_TEXT";"age";"english";"english_native";"race";"mean_trust";"mean_value"
"64";92;7;6;7;6;6;5;5;5;5;2;NA;2;"Deleted to protect anonymity";23;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,4;5
"65";60;5;4;5;4;5;4;3;4;4;2;NA;2;"Deleted to protect anonymity";51;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;3,75
"66";70;3;5;5;5;5;3;4;4;2;2;NA;2;"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;3,25
"67";75;7;7;7;7;7;5;5;4;4;2;NA;2;"Deleted to protect anonymity";43;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;4,5
"68";50;3;4;3;5;5;3;4;3;4;2;NA;2;"Deleted to protect anonymity";24;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4;3,5
"69";35;3;4;4;6;6;2;3;3;1;2;NA;1;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;2,25
"70";60;2;3;3;4;1;2;2;2;2;2;NA;1;"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";2,6;2
"71";76;5;6;6;6;6;4;4;4;4;2;NA;1;"Deleted to protect anonymity";43;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;4
"72";60;5;4;4;5;5;3;4;5;2;2;NA;2;"Deleted to protect anonymity";39;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;3,5
"73";66;4;4;5;5;4;3;4;1;4;2;NA;1;"Deleted to protect anonymity";38;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,4;3
"74";70;7;6;6;7;7;4;4;4;4;2;NA;1;"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,6;4
"75";85;4;4;4;5;3;3;3;2;2;2;NA;1;"Deleted to protect anonymity";40;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4;2,5
"76";86;4;5;2;6;6;4;4;4;3;2;NA;2;"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;3,75
"77";90;6;5;6;7;7;4;5;5;5;2;NA;2;"Deleted to protect anonymity";43;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,2;4,75
"78";75;5;5;5;5;5;4;4;4;3;2;NA;2;"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;3,75
"79";61;6;6;6;5;6;4;4;4;4;2;NA;1;"Deleted to protect anonymity";22;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;4
"80";80;7;7;7;7;7;5;5;5;5;2;NA;1;"Deleted to protect anonymity";52;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;5
"81";14;7;6;7;7;7;4;4;3;4;2;NA;2;"Deleted to protect anonymity";53;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,8;3,75
"82";20;7;7;7;7;7;5;5;5;2;1;2;1;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;4,25
"83";42;4;5;5;5;4;4;4;3;3;2;NA;2;"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;3,5
"84";36;6;4;3;6;5;3;3;2;3;2;NA;2;"Deleted to protect anonymity";24;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;2,75
"85";80;6;6;6;6;6;4;4;3;2;2;NA;1;"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;3,25
"86";88;6;5;5;6;6;4;4;5;5;2;NA;2;"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,6;4,5
"87";61;6;5;6;6;6;4;5;1;4;2;NA;2;"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;3,5
"88";100;6;3;6;5;6;4;5;5;4;2;NA;2;"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;4,5
"89";80;7;6;6;7;7;4;4;3;3;2;NA;3;"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,6;3,5
"90";76;6;6;6;6;5;4;4;3;3;2;NA;2;"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;3,5
"91";71;6;6;6;6;6;4;4;4;3;2;NA;1;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;3,75
"92";70;2;3;2;2;1;2;2;1;2;2;NA;1;"Deleted to protect anonymity";40;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";2;1,75
"93";76;6;6;4;6;6;3;3;1;2;2;NA;1;"Deleted to protect anonymity";42;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,6;2,25
"94";65;5;5;5;5;5;3;3;2;2;2;NA;1;"Deleted to protect anonymity";41;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;2,5
"95";80;2;4;5;2;4;3;2;4;5;2;NA;1;"Deleted to protect anonymity";24;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,4;3,5
"96";70;5;6;5;5;6;4;5;4;5;2;NA;2;"Deleted to protect anonymity";42;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;4,5
"97";37;3;3;2;1;2;2;3;2;1;2;NA;2;"Deleted to protect anonymity";35;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";2,2;2
"98";41;6;5;4;6;7;4;5;4;2;2;NA;1;"Deleted to protect anonymity";68;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,6;3,75
"99";70;6;3;5;5;5;4;4;3;3;2;NA;2;"Deleted to protect anonymity";21;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;3,5
"100";24;5;5;5;6;6;3;3;3;2;2;NA;2;"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;2,75
"101";69;3;5;7;5;5;4;5;4;1;2;NA;1;"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;3,5
"102";80;3;6;4;2;3;3;5;4;4;2;NA;1;"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,6;4
"103";59;1;3;2;2;1;2;2;1;1;2;NA;1;"Deleted to protect anonymity";52;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";1,8;1,5
"104";25;5;4;6;6;6;3;4;3;3;2;NA;2;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;3,25
"105";96;6;6;6;6;6;4;4;3;4;2;NA;1;"Deleted to protect anonymity";57;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;3,75
"106";40;2;3;2;2;1;2;3;1;1;2;NA;2;"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";2;1,75
"107";90;7;7;7;7;7;5;5;5;5;2;NA;2;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;5
"108";20;5;5;6;6;6;4;4;4;3;2;NA;1;"Deleted to protect anonymity";37;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,6;3,75
"109";71;5;6;6;4;6;4;4;5;5;2;NA;2;"Deleted to protect anonymity";44;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;4,5
"110";40;7;4;4;6;4;3;5;5;5;2;NA;2;"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;4,5
"111";80;7;6;4;7;7;5;5;5;3;2;NA;2;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,2;4,5
"112";60;7;7;7;7;7;5;5;5;5;2;NA;1;"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;5
"113";90;6;6;6;6;5;4;5;4;3;2;NA;1;"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;4
"114";90;6;6;6;7;7;4;5;3;2;2;NA;1;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,4;3,5
"115";30;7;7;7;6;7;5;5;5;5;2;NA;2;"Deleted to protect anonymity";39;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,8;5
"116";33;3;3;2;3;2;3;2;2;2;2;NA;1;"Deleted to protect anonymity";21;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";2,6;2,25
"117";53;6;5;5;6;3;3;3;2;2;2;NA;1;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;2,5
"118";84;7;5;5;7;7;4;4;4;3;2;NA;2;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,2;3,75
"119";30;4;3;3;4;3;3;3;4;2;2;NA;2;"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,4;3
"120";80;7;7;7;7;7;5;5;5;5;2;NA;1;"Deleted to protect anonymity";40;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;5
"121";60;6;6;6;6;6;4;5;4;4;2;NA;1;"Deleted to protect anonymity";37;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;4,25
"122";70;5;5;5;5;5;3;3;3;3;2;NA;2;"Deleted to protect anonymity";35;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;3
"123";81;5;5;5;6;4;4;3;3;2;2;NA;1;"Deleted to protect anonymity";52;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;3
"124";59;5;5;5;6;6;3;3;3;2;2;NA;1;"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;2,75
"125";30;5;5;4;5;4;4;3;3;3;2;NA;1;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;3,25
"126";25;5;5;5;5;5;4;5;4;2;2;NA;1;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;3,75
"127";40;3;4;7;6;6;2;3;4;4;2;NA;1;"Deleted to protect anonymity";48;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;3,25
"128";81;5;5;5;5;6;4;4;3;3;2;NA;2;"Deleted to protect anonymity";40;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;3,5
"129";61;5;4;6;6;5;4;3;2;1;2;NA;2;"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;2,5
"130";61;3;4;4;5;6;3;4;4;3;2;NA;2;"Deleted to protect anonymity";50;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,4;3,5
"131";80;4;4;5;4;3;3;3;4;3;2;NA;2;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4;3,25
"132";42;2;2;1;3;1;2;2;1;3;2;NA;1;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";1,8;2
"133";51;3;5;5;7;7;4;4;4;4;2;NA;2;"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;4
"134";95;6;7;7;6;7;5;5;4;1;2;NA;1;"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,6;3,75
"135";75;1;4;4;4;4;3;4;3;3;2;NA;2;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,4;3,25
"136";70;2;3;4;3;3;3;2;3;1;2;NA;1;"Deleted to protect anonymity";35;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3;2,25
"137";61;6;6;6;6;6;4;4;3;3;2;NA;1;"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;3,5
"138";82;5;5;4;6;5;4;3;3;3;2;NA;2;"Deleted to protect anonymity";41;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;3,25
"139";74;6;5;5;2;6;4;4;4;3;2;NA;1;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;3,75
"140";70;7;6;6;7;7;5;5;4;4;2;NA;2;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,6;4,5
"141";60;4;4;3;2;3;3;3;2;3;2;NA;1;"Deleted to protect anonymity";35;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,2;2,75
"142";77;7;6;7;4;6;5;5;3;4;2;NA;1;"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;4,25
"143";60;6;5;5;2;4;4;4;3;3;2;NA;1;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,4;3,5
"144";80;5;5;5;4;5;4;4;3;3;2;NA;2;"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;3,5
"145";100;7;6;6;6;4;5;5;5;5;2;NA;2;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;5
"146";61;5;5;4;3;3;3;3;2;2;2;NA;1;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4;2,5
"147";90;5;4;3;5;5;4;4;3;3;2;NA;1;"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,4;3,5
"148";65;3;4;6;2;3;2;4;4;3;2;NA;1;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,6;3,25
"149";85;7;6;7;5;6;5;5;4;5;2;NA;2;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,2;4,75
"150";30;5;5;5;5;4;2;4;2;1;2;NA;1;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;2,25
"151";43;6;5;6;2;5;3;4;4;3;2;NA;2;"Deleted to protect anonymity";40;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;3,5
